,question,ans,model_output,correctness
0,"Setembro de 2023 Advogado: Um cachorro Rottweiler que mordeu a dona de uma menina pode ser culpado de negligência, causando ferimentos graves,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
1,"Setembro de 2023 Patroa pediu dinheiro emprestado para investir no mercado imobiliário e perdeu 400 milhões, 177 casas foram “vendidas” a parentes do credor,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
2,"Setembro de 2023 Enquanto Scholz se preparava para voar para fora de Israel, ele foi atacado por um foguete e evacuado para um bunker.,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
3,"Setembro de 2023 A primeira visita de Putin à China após o conflito entre a Rússia e a Ucrânia atraiu a atenção de muitos meios de comunicação estrangeiros,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
4,"Setembro de 2023 O Vice-Primeiro-Ministro do Conselho de Estado participou pela primeira vez na Conferência de Empreendedores ""Belt and Road"" e expressou esperança,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadero,0
5,"Setembro de 2023 Os militares israelitas antecipam o seu “próximo passo” e a Rússia avisa: pode trazer consequências terríveis,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
6,"Setembro de 2023 Dois funcionários do norte de Mianmar foram demitidos por serem os líderes da fraude eletrônica e tinham registros residenciais em Guangdong e Yunnan, respectivamente.,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
7,"Setembro de 2023 Niu Tanqin: É realmente incomum que o chefe de estado chinês se reúna com oito líderes estrangeiros,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
8,"Setembro de 2023 Ataque ao hospital de Gaza mata pelo menos 500; visita de Biden à Jordânia cancelada,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
9,"Setembro de 2023 A mídia dos EUA dá um tapa na cara das armas de ficção científica israelenses: míssil interceptador a laser é uma imagem de jogo,Se for verdade, responda 'verdadeiro', se não for verdade, responda 'falso', se você não sabe verdadeiro ou falso, responda ' não sei' '",,Verdadeiro,0
